date,home_team,away_team,home_score,away_score,round
2024-10-05,282,287,2,2,29
2024-10-05,280,275,0,0,29
2024-10-05,293,263,0,1,29
2024-10-05,265,262,0,2,29
2024-10-05,264,285,2,2,29
2024-10-05,1371,276,2,0,29
2024-10-05,267,286,1,1,29
2024-10-16,276,267,3,0,30
2024-10-16,356,282,1,1,30
2024-10-17,262,266,0,2,30
2024-10-17,264,293,5,2,30
2024-10-18,373,1371,0,0,30
2024-10-18,263,288,1,1,30
2024-10-18,283,265,1,1,30
2024-10-19,285,284,1,0,30
2024-10-19,287,280,1,0,30
2024-10-20,286,275,3,5,30
2024-10-26,284,373,3,1,31
2024-10-26,287,266,2,1,31
2024-10-26,262,286,4,2,31
2024-10-26,275,356,2,2,31
2024-10-26,293,283,3,0,31
2024-10-26,282,285,1,3,31
2024-10-26,280,263,0,1,31
2024-10-26,288,276,1,1,31
2024-10-28,1371,264,0,1,31
2024-10-28,267,265,3,2,31
2024-11-01,266,284,2,2,32
2024-11-02,280,1371,0,0,32
2024-11-02,293,287,1,2,32
2024-11-02,286,356,0,3,32
2024-11-04,264,275,2,0,32
2024-11-05,285,288,2,0,32
2024-11-05,265,276,0,3,32
2024-11-05,263,267,3,0,32
2024-11-06,283,262,0,1,32
2024-11-06,373,282,1,0,32
2024-11-08,285,266,2,0,33
2024-11-08,275,284,1,0,33
2024-11-09,287,264,1,2,33
2024-11-09,263,1371,0,0,33
2024-11-09,283,288,2,1,33
2024-11-09,356,267,3,0,33
2024-11-09,373,280,0,0,33
2024-11-09,286,265,2,1,33
2024-11-09,276,293,2,1,33
2024-11-13,262,282,0,0,33
2024-11-20,264,283,2,1,34
2024-11-20,280,276,1,1,34
2024-11-20,293,373,2,0,34
2024-11-20,288,287,0,1,34
2024-11-20,265,275,1,2,34
2024-11-20,284,286,2,2,34
2024-11-20,1371,262,1,2,34
2024-11-20,282,263,0,0,34
2024-11-21,267,285,0,1,34
2024-11-22,266,356,2,2,34
2024-11-23,263,287,1,1,35
2024-11-23,373,275,0,1,35
2024-11-23,286,1371,1,1,35
2024-11-23,276,282,2,2,35
2024-11-24,285,280,4,1,35
2024-11-24,265,293,1,1,35
2024-11-24,264,267,3,1,35
2024-11-26,266,288,0,0,35
2024-11-26,356,262,0,0,35
2024-11-27,283,284,1,1,35
